RespondentID,CollectorID,StartDate,EndDate,IP Address,Email Address,First Name,LastName,Custom Data,Please enter the 5 character code for the Fellow in the email you received from our office.,"As a result of hiring this Fellow, I was able to staff my school with a higher quality teacher that I may otherwise have had access to.","Based on what you've observed about this Fellow so far, how would you rate their current performance on NYC’s Danielson Framework for Teaching?",Planning and Preparation,The Classroom Environment,Instruction,Professional Responsibilities,How does this Teaching Fellow’s performance compare to other first-year teachers you’ve worked with?,What is your current job title?,Other (please specify),Please feel free to share any additional information about his/her performance.,"What resources do you wish you had, if any, to better support NYC Teaching Fellows during their first year in the classroom?"
5270885248,96128144,3/2/2017,3/2/2017,165.155.200.16,,,,,51267,Agree,Developing,Agree,Agree,Agree,Agree,Above Average,Principal,,,
5270731580,96128144,3/2/2017,3/2/2017,165.155.200.8,,,,,51306,Agree,Effective,Agree,Agree,Agree,Agree,Top 10%,Principal,,"Thank you so much for your training and preparation of incoming teachers. Mr. Chase is a pleasure to have on staff, his passion for educating our youngsters is evident and his energy is a welcomed addition to our school.","Funds to offer per session opportunities for new teachers to participate in networking sessions after work, with each other and with administrators."
5269711964,96128144,3/2/2017,3/2/2017,68.132.116.156,,,,,51305,Somewhat Agree,Developing,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Average,Principal,,,
5268952348,96128144,3/1/2017,3/1/2017,165.155.196.3,,,,,51245,Agree,Developing,Agree,Agree,Agree,Agree,Above Average,Principal,,,
5268683325,96128144,3/1/2017,3/1/2017,165.155.204.23,,,,,51208,Agree,Developing,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Average,Principal,,"All first year teachers need support. As I tell all new teachers, if they follow the recommendations from administration, mentors and fellow teachers their practice will improve. ",the resources that I wish I had was more time to help fellows improve their practice. I would want to send them to more PD both in and out side of our school. 
5268132294,96128144,3/1/2017,3/1/2017,24.168.118.92,,,,,51212,Agree,Developing,Strongly Agree,Strongly Agree,Agree,Agree,Average,Principal,,,How to work with numerous paras in a room 
5267985981,96128144,3/1/2017,3/1/2017,107.77.226.145,,,,,51241,Strongly Agree,Developing,Agree,Agree,Agree,Agree,Average,Assistant Principal,,Anna has already formed a wonderful bond with our other two ESL teachers. She has already assisted with NYSITELL administration. She is getting to know our ENL students and has especially formed a bond with our Entering and Emerging students.,
5267943752,96128144,3/1/2017,3/1/2017,107.77.226.145,,,,,51322,Strongly Disagree,Developing,Agree,Agree,Agree,Agree,Above Average,Assistant Principal,,Jennifer Mastrogiovanni has shown that she is committed to her students. She has stated how she wants to ensure that all of her students receive individualized instruction so that they will succeed. She is professional and has a wonderful rapport with colleagues students and supervisors.,
5267933177,96128144,3/1/2017,3/1/2017,165.155.200.7,,,,,51278,Strongly Agree,Developing,Agree,Agree,Agree,Agree,Above Average,Principal,,He has developed an excellent rapport with his students and is leveraging that rapport to improve his pedagogy.,None
5267619093,96128144,2/28/2017,2/28/2017,165.155.200.10,,,,,51326,Agree,Developing,Agree,Agree,Agree,Agree,Average,Principal,,Ms. Pena has great potential of becoming a highly effective teacher. As a new teacher there is an abundance of content knowledge and pedagogical approaches to learn. I am confident she is up for the challenge.  ,Professional development opportunties prior to hiring on the teaching of reading and mathematics with a focus on structures and effective practices. 
5267575111,96128144,2/28/2017,2/28/2017,165.155.200.27,,,,,51260,Agree,Developing,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Above Average,Principal,,,
5267535401,96128144,2/28/2017,2/28/2017,165.155.200.11,,,,,51248,Agree,Developing,Agree,Agree,Agree,Strongly Agree,Above Average,Principal,,,
5267475533,96128144,2/28/2017,2/28/2017,165.155.200.11,,,,,51290,Agree,Effective,Agree,Agree,Agree,Agree,Above Average,Principal,,,I would prefer to have access to the candidates a month in advance so I may vet them appropriately.
5267473953,96128144,2/28/2017,2/28/2017,165.155.200.11,,,,,51266,Disagree,Developing,Disagree,Disagree,Disagree,Somewhat Disagree,Below Average,Principal,,The teacher seems a bit lost irrespective of the PD provided.,I would prefer to have access to the candidates a month in advance so I may vet them appropriately.
5266890088,96128144,2/28/2017,2/28/2017,165.155.196.11,,,,,51307,Somewhat Agree,Effective,Agree,Agree,Agree,Agree,Average,Principal,,,
5261928304,96128144,2/24/2017,2/24/2017,71.183.130.249,,,,,51270,Strongly Disagree,Effective,Agree,Agree,Agree,Strongly Agree,Above Average,Principal,,,I would love to work with potential fellows over the summer. 
5259072643,96128144,2/22/2017,2/22/2017,165.155.200.9,,,,,51233,Disagree,Ineffective,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Bottom 10%,Principal,,,
5259071292,96128144,2/22/2017,2/22/2017,165.155.200.9,,,,,51223,Somewhat Disagree,Developing,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Above Average,Principal,,As an ICT teacher I would expect the teacher to use 6 of the ICT co-Teaching Strategies. I have not observed anything other than one teach one assist. ,
5258232789,96128144,2/22/2017,2/22/2017,165.155.200.7,,,,,51222,Somewhat Agree,Developing,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Average,Principal,,,
5252740996,96128144,2/17/2017,2/17/2017,165.155.212.30,,,,,51216,Agree,Effective,Agree,Agree,Agree,Agree,Average,Principal,,,
5252740389,96128144,2/17/2017,2/17/2017,165.155.212.30,,,,,51209,Agree,Effective,Agree,Agree,Agree,Agree,Average,Principal,,,
5252739566,96128144,2/17/2017,2/17/2017,165.155.212.30,,,,,51203,Agree,Effective,Agree,Agree,Agree,Agree,Average,Principal,,,
5252738914,96128144,2/17/2017,2/17/2017,165.155.212.30,,,,,51200,Agree,Effective,Agree,Agree,Agree,Agree,Above Average,Principal,,,
5252203292,96128144,2/17/2017,2/17/2017,165.155.200.8,,,,,51213,Somewhat Agree,Effective,Agree,Agree,Agree,Agree,Above Average,Principal,,,
5251927493,96128144,2/17/2017,2/17/2017,165.155.204.99,,,,,51261,Agree,Developing,Agree,Somewhat Agree,Somewhat Agree,Agree,Average,Assistant Principal,,,
5250813385,96128144,2/16/2017,2/16/2017,165.155.200.7,,,,,51214,Somewhat Agree,Effective,Agree,Agree,Agree,Agree,Average,Assistant Principal,,,
5250034051,96128144,2/16/2017,2/16/2017,165.155.200.8,,,,,51202,Agree,Developing,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Average,Assistant Principal,,"We have only had Ms. Collins for two weeks.  The first week we worked with her to plan her class, so this is the first true week of instruction.  We will know more about her performance in the coming weeks but she has been diligent and resourceful so far.",None
5248222159,96128144,2/15/2017,2/15/2017,165.155.208.16,,,,,51301,Disagree,Developing,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Below Average,Principal,,"A very competent mentor has been assigned to the teacher, she is not making the progress we would expect. She is not learning and is not accountable.  The mentor has spent several full days in the classroom with her modeling lessons, rearranging the room, making charts, and demonstrating how to work with small groups. However, there is very little evidence of progress.",More frequent visits from the NYC Teaching Fellows would provide more support. 
5248170151,96128144,2/15/2017,2/15/2017,165.155.196.11,,,,,51247,Agree,Effective,Agree,Somewhat Agree,Agree,Agree,Average,Principal,,,
5248123861,96128144,2/15/2017,2/15/2017,165.155.204.20,,,,,51197,Strongly Disagree,Ineffective,Disagree,Disagree,Disagree,Disagree,Bottom 10%,Principal,,"We encountered some difficulty in staffing this person in Galaxy and were going to move her from a permanent hire to provisional.  When faced with this challenge, she responded very unprofessionally.      Her response was:  Ms. Logozzo,    As per our conversation this morning you have withdrawn my nomination for one of several reasons:  Budget  My license  The position was provisional  Etc, etc    What I don't understand is why you sent me an email after hours and then ignored my several attempts at reaching you. I then reached out to my team leader who assured me that this was a mistake and that you would never do something like that. Well it seems you would. You could have had the common courtesy of telling me yesterday before I left, and save me the trip this morning only let me know that the email was in fact valid and that I was being let go.     It seems that this will be for the best because I would not want to work for someone who misrepresented themselves.     You knew from our interview that my strengths are the Humanities and that my weaknesses are Math and Science - to which you replied ""What's important is building relationships"". I think it would behoove you to follow your own advise.     To which I replied:  Ms. Awad,    The email you received was auto-generated by DOE HR.  I was offline last night, so I did not see it until this morning, along with your email.      I would have discussed this fact, along with the change from permanent hire to provisional hire with you this morning, had you not been so abrupt and quick to say, ""this is for the best.""     Your email below is insulting.  The DOE is a small world, I advise you not to burn bridges so early in your career.        Best,     Nancy Logozzo    ",
5248043745,96128144,2/15/2017,2/15/2017,165.155.200.10,,,,,51288,Strongly Agree,Effective,Agree,Agree,Agree,Strongly Agree,Above Average,Principal,,,
5247993952,96128144,2/15/2017,2/15/2017,100.33.111.183,,,,,51232,Strongly Agree,Effective,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Above Average,Assistant Principal,,Ms. Beccia has been an asset to our school since she joined us.  She is a voracious learner and has demonstrated her ability to decipher problems and quickly find solutions.  She has given her time freely to ensure that structures are in place to benefit our school.  She is a professional at all times and has a warm demeanor with children.  We are very happy to have found her.  ,Not sure of this response.  I would prefer to ask the Teaching Fellow her opinion on what resources she might need.  
5246462348,96128144,2/15/2017,2/15/2017,165.155.196.11,,,,,51291,Agree,Developing,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Average,Principal,,,
5245934150,96128144,2/14/2017,2/14/2017,165.155.200.9,,,,,51201,Somewhat Agree,Developing,Agree,Agree,Agree,Agree,Average,Principal,,Mr. Centeno has demonstrated fidelity and commitment to his work. He has the habits needed to become a highly effective teacher.,More time in the day
5245448567,96128144,2/14/2017,2/14/2017,165.155.196.2,,,,,51287,Agree,Developing,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Average,Assistant Principal,,,
5245446033,96128144,2/14/2017,2/14/2017,165.155.200.8,,,,,51234,Agree,Developing,Agree,Agree,Agree,Strongly Agree,Above Average,Principal,,,
5245445687,96128144,2/14/2017,2/14/2017,165.155.208.18,,,,,51199,Agree,Effective,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Above Average,Assistant Principal,,,
5245444790,96128144,2/14/2017,2/14/2017,165.155.200.8,,,,,51323,Agree,Developing,Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Above Average,Principal,,,
5245441576,96128144,2/14/2017,2/14/2017,165.155.196.2,,,,,51265,Agree,Developing,Agree,Agree,Agree,Agree,Above Average,Principal,,,
5245434817,96128144,2/14/2017,2/14/2017,165.155.192.11,,,,,51211,Strongly Agree,Effective,Agree,Agree,Agree,Strongly Agree,Above Average,Principal,,,
5245259041,96128144,2/14/2017,2/14/2017,165.155.208.19,,,,,51282,Strongly Agree,Effective,Agree,Agree,Agree,Agree,Above Average,Principal,,Christopher was a med year replacement and has been doing a very good job!,I would love to give all my new teachers more one on  one coaching
5245216841,96128144,2/14/2017,2/14/2017,165.155.204.23,,,,,51285,Somewhat Disagree,Developing,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Average,Principal,,,
5245178889,96128144,2/14/2017,2/14/2017,165.155.208.16,,,,,51329,Disagree,Developing,Somewhat Agree,Disagree,Disagree,Agree,Below Average,Principal,,"Ms. Ramos is eager to learn which is an area of strengthen.  During her internship with the Fellows she only worked in a Middle School.  As a result, she is struggling delivering instruction to Elementary school  students and classroom management.","Ms. Ramos has extensive support provided by the school.  She has a school based mentor, 1:1 coaching support, weekly PD, outside PD, teacher team planning and peer coaching in classroom management and subject specific instructional support.      My feedback to the NYC Teaching Fellows is to provide the teachers with experiences in different grade levels and provide additional support in classroom management. "
5245149381,96128144,2/14/2017,2/14/2017,165.155.212.22,,,,,51252,Somewhat Agree,Effective,Agree,Agree,Agree,Agree,Average,Principal,,,
5245101929,96128144,2/14/2017,2/14/2017,165.155.208.17,,,,,51312,Somewhat Disagree,Effective,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Top 10%,Principal,,Well prepared; knowledgeable,
5245096016,96128144,2/14/2017,2/14/2017,165.155.196.2,,,,,51235,Agree,Developing,Disagree,Agree,Somewhat Agree,Agree,Average,Principal,,,
5244419292,96128144,2/14/2017,2/14/2017,67.81.172.63,,,,,51198,Agree,Effective,Strongly Agree,Agree,Agree,Agree,Average,Principal,,,
5244181477,96128144,2/14/2017,2/14/2017,24.164.135.157,,,,,51215,Somewhat Disagree,Developing,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Average,Assistant Principal,,,
5244149601,96128144,2/14/2017,2/14/2017,165.155.200.16,,,,,51256,Agree,Developing,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Average,Principal,,It is important to state that this candidate started at the end of the month of January.  Therefore it is early to discuss growth as a new teacher.,School based coaching
5244147004,96128144,2/14/2017,2/14/2017,166.216.159.32,,,,,51255,Somewhat Agree,Developing,Agree,Agree,Agree,Strongly Agree,Average,Principal,,He's only been with us since December.,
5244146819,96128144,2/14/2017,2/14/2017,165.155.200.16,,,,,51249,Agree,Developing,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Average,Principal,,It is important to state that this candidate started at the end of the month of December.  Therefore it is early to discuss growth as a new teacher.,School based coaching.  
5244124759,96128144,2/14/2017,2/14/2017,74.64.108.43,,,,,51230,Agree,Developing,Agree,Somewhat Agree,Agree,Agree,Above Average,Principal,,,
5243982155,96128144,2/13/2017,2/13/2017,165.155.208.7,,,,,51268,Agree,Developing,Agree,Agree,Agree,Agree,Above Average,Principal,,,
5243943052,96128144,2/13/2017,2/13/2017,173.68.17.23,,,,,51302,Strongly Disagree,Ineffective,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Bottom 10%,Principal,,This person put in or a medical leave after 9 days of teaching for a pre-existing condition. This person left a special education position leaving children without a teacher. She took the job knowing she had a pre-existing condition and said that it would not effect her ability to teach. She did not want to put in the work required for a special education position.,
5243929551,96128144,2/13/2017,2/13/2017,165.155.200.10,,,,,51284,Strongly Disagree,Ineffective,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Bottom 10%,Principal,,Mr. Marauski does not seem to be connected as a teacher and seems to be merely going through the motions.,Weekly coaching and planning support.
5243926857,96128144,2/13/2017,2/13/2017,165.155.196.89,,,,,51333,Somewhat Agree,Developing,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Average,Principal,,,
